TaskID,Name,WBS,Outline Level,Duration,Predecessors,% Complete,Baseline Start,Baseline Finish,Start,Finish
1,PHASE 1: INFRASTRUCTURE BUILD (16 Tasks),1,1,0,,100,2025-03-03,2025-03-03,2025-03-03,2025-03-03
110,Network Design & IP Plan,1.1,2,5,,100,2025-03-03,2025-03-08,2025-03-03,2025-03-08
111,New Firewall/ACL Configuration,1.1.1,3,3,110SS,100,2025-03-03,2025-03-06,2025-03-03,2025-03-06
112,Configure Load Balancers (Tier 1),1.1.2,3,4,111,100,2025-03-06,2025-03-10,2025-03-06,2025-03-10
113,DNS Record Update Strategy,1.1.3,3,2,110FF,100,2025-03-06,2025-03-08,2025-03-08,2025-03-10
120,Hardware Procurement & Delivery,1.2,2,20,110FS+2d,100,2025-03-10,2025-03-30,2025-03-12,2025-04-05
121,Data Replication Tools Setup,1.2.1,3,5,112,100,2025-03-10,2025-03-15,2025-03-10,2025-03-15
130,Physical Server Rack/Stack,1.3,2,10,120,100,2025-03-30,2025-04-09,2025-04-05,2025-04-15
131,OS/Hypervisor Installation (Tier 1),1.3.1,3,5,130SS+2d,100,2025-04-01,2025-04-06,2025-04-07,2025-04-12
132,OS/Hypervisor Installation (Tier 2),1.3.2,3,6,130SS+4d,100,2025-04-03,2025-04-09,2025-04-09,2025-04-15
140,Storage Array Provisioning,1.4,2,7,130,100,2025-04-09,2025-04-16,2025-04-15,2025-04-22
141,Configure SAN Zoning (Tier 1),1.4.1,3,4,140SS,100,2025-04-09,2025-04-13,2025-04-15,2025-04-19
142,Configure SAN Zoning (Tier 2),1.4.2,3,5,140SS+1d,100,2025-04-10,2025-04-15,2025-04-16,2025-04-21
150,Patching & Initial Hardening,1.5,2,5,131FF,100,2025-04-06,2025-04-11,2025-04-12,2025-04-17
160,Infrastructure Validation,1.6,2,3,"142, 150",100,2025-04-16,2025-04-19,2025-04-22,2025-04-25
170,Handover to Application Teams,1.7,2,1,160,100,2025-04-19,2025-04-20,2025-04-25,2025-04-26
2,PHASE 2: APPLICATION DEPLOYMENTS & DATA (52 Tasks),2,1,0,,60,2025-04-20,2025-04-20,2025-04-26,2025-04-26
210,TIER 1 - MISSION CRITICAL APPS,2.1,2,0,,85,2025-04-20,2025-04-20,2025-04-26,
2101,App A - Install App Server,2.1.01,3,5,170,100,2025-04-20,2025-04-25,2025-04-26,2025-05-01
2102,App A - Database Provisioning,2.1.02,3,4,2101SS+1d,100,2025-04-21,2025-04-25,2025-04-27,2025-05-01
2103,App A - Initial Data Sync,2.1.03,3,10,2102,100,2025-04-25,2025-05-05,2025-05-01,2025-05-11
2104,App A - DEV Testing,2.1.04,3,3,2101FF+1d,100,2025-04-26,2025-04-29,2025-05-02,2025-05-05
2105,App B - Install App Server,2.1.05,3,6,170,100,2025-04-20,2025-04-26,2025-04-26,2025-05-02
